id,city,country,latitude,longitude
1,Tokyo,Japan,35.6894,139.6917
2,Delhi,India,28.6667,77.2167
3,Shanghai,China,31.1667,121.4667
4,Dhaka,Bangladesh,23.7289,90.3944
5,Sao Paulo,Brazil,-23.5504,-46.6339
6,Mexico City,Mexico,19.4333,-99.1333
7,Cairo,Egypt,30.0444,31.2358
8,Beijing,China,39.9040,116.4075
9,Mumbai,India,19.0758,72.8775
10,Osaka,Japan,34.7520,135.4582
11,Chongqing,China,29.5500,106.5069
12,Karachi,Pakistan,24.8600,67.0100
13,Istanbul,Turkey,41.0100,28.9603
14,Kinshasa,DR Congo,-4.3317,15.3139
15,Lagos,Nigeria,6.4500,3.4000
16,Buenos Aires,Argentina,-34.5997,-58.3819
17,Kolkata,India,22.5727,88.3639
18,Manila,Philippines,14.6000,120.9833
19,Tianjin,China,39.1467,117.2056
20,Guangzhou,China,23.1288,113.2590
21,Rio de Janeiro,Brazil,-22.9083,-43.1964
22,Lahore,Pakistan,31.5497,74.3436
23,Bangalore,India,12.9791,77.5913
24,Shenzhen,China,22.5350,114.0540
25,Moscow,Russia,55.7558,37.6178
26,Chennai,India,13.0825,80.2750
27,Bogota,Colombia,4.6126,-74.0705
28,Paris,France,48.8566,2.3522
29,Jakarta,Indonesia,-6.2146,106.8451
30,Lima,Peru,-12.0600,-77.0375
31,Bangkok,Thailand,13.7500,100.5167
32,Hyderabad,India,17.3617,78.4747
33,Seoul,South Korea,37.5600,126.9900
34,Nagoya,Japan,35.1167,136.9333
35,London,United Kingdom,51.5072,-0.1275
36,Chengdu,China,30.6600,104.0633
37,Nanjing,China,32.0500,118.7667
38,Tehran,Iran,35.7000,51.4167
39,Ho Chi Minh City,Vietnam,10.8167,106.6333
40,Luanda,Angola,-8.8383,13.2344
41,New York City,United States,40.6943,-73.9249
42,Wuhan,China,30.5872,114.2881
43,Xi’an,China,34.2667,108.9000
44,Ahmedabad,India,23.0300,72.5800
45,Kuala Lumpur,Malaysia,3.1478,101.6953
46,Hangzhou,China,30.2500,120.1675
47,Surat,India,21.1700,72.8300
48,Suzhou,China,31.3040,120.6164
49,Hong Kong,Hong Kong,22.3069,114.1831
50,Riyadh,Saudi Arabia,24.6500,46.7100
